question_id,competency_tag,topic,question_text,options_raw,correct_key,difficulty,target_time,hint
Q1_001,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 5 sides?,"A) Pentagon, B) Hexagon, C) Heptagon, D) Octagon",A,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_002,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 6 sides?,"A) Pentagon, B) Hexagon, C) Heptagon, D) Octagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_003,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 7 sides?,"A) Hexagon, B) Heptagon, C) Octagon, D) Nonagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_004,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 8 sides?,"A) Heptagon, B) Octagon, C) Nonagon, D) Decagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_005,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 9 sides?,"A) Octagon, B) Nonagon, C) Decagon, D) Undecagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_006,Q1-MG-1,Measurement and Geometry - Polygons,What is a polygon with 10 sides?,"A) Nonagon, B) Decagon, C) Undecagon, D) Dodecagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_007,Q1-MG-1,Measurement and Geometry - Polygons,How many sides does a triangle have?,"A) 2, B) 3, C) 4, D) 5",B,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_008,Q1-MG-1,Measurement and Geometry - Polygons,How many sides does a quadrilateral have?,"A) 3, B) 4, C) 5, D) 6",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_009,Q1-MG-1,Measurement and Geometry - Polygons,What do you call a regular polygon with 12 sides?,"A) Decagon, B) Undecagon, C) Dodecagon, D) Icosagon",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_010,Q1-MG-1,Measurement and Geometry - Polygons,A polygon must have at least how many sides?,"A) 1, B) 2, C) 3, D) 4",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_011,Q1-MG-2,Measurement and Geometry - Polygons,A regular polygon has:,"A) Equal sides only, B) Equal angles only, C) Both equal sides and angles, D) Unequal sides",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_012,Q1-MG-2,Measurement and Geometry - Polygons,Which is a regular quadrilateral?,"A) Rectangle, B) Rhombus, C) Square, D) Trapezoid",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_013,Q1-MG-2,Measurement and Geometry - Polygons,A triangle with all sides equal is called:,"A) Scalene, B) Isosceles, C) Equilateral, D) Right",C,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_014,Q1-MG-2,Measurement and Geometry - Polygons,An irregular polygon has:,"A) All equal sides, B) All equal angles, C) Unequal sides and/or angles, D) Exactly 5 sides",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_015,Q1-MG-2,Measurement and Geometry - Polygons,Which of these is an irregular polygon?,"A) Equilateral triangle, B) Square, C) Scalene triangle, D) Regular pentagon",C,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_016,Q1-MG-4,Measurement and Geometry - Polygons,A polygon where all interior angles are less than 180° is:,"A) Concave, B) Convex, C) Regular, D) Irregular",B,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_017,Q1-MG-4,Measurement and Geometry - Polygons,A polygon with at least one interior angle greater than 180° is:,"A) Concave, B) Convex, C) Regular, D) Equilateral",A,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_018,Q1-MG-4,Measurement and Geometry - Polygons,"In a convex polygon, if you draw a line segment between any two interior points, the segment will:","A) Pass outside the polygon, B) Stay inside the polygon, C) Intersect a vertex, D) Form a right angle",B,Hard (2),90s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_019,Q1-MG-4,Measurement and Geometry - Polygons,A star-shaped polygon is an example of a:,"A) Convex polygon, B) Concave polygon, C) Regular polygon, D) Triangle",B,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_020,Q1-MG-4,Measurement and Geometry - Polygons,All regular polygons are always:,"A) Concave, B) Convex, C) Asymmetrical, D) Triangles",B,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_021,Q1-MG-5,Measurement and Geometry - Angle Relationships,The sum of an interior angle and its adjacent exterior angle is:,"A) 90°, B) 180°, C) 270°, D) 360°",B,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_022,Q1-MG-5,Measurement and Geometry - Angle Relationships,"If an interior angle is 120°, its adjacent exterior angle is:","A) 60°, B) 80°, C) 120°, D) 240°",A,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_023,Q1-MG-5,Measurement and Geometry - Angle Relationships,"If an exterior angle is 72°, its adjacent interior angle is:","A) 18°, B) 72°, C) 108°, D) 288°",C,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_024,Q1-MG-5,Measurement and Geometry - Angle Relationships,"If an interior angle is 90°, the adjacent exterior angle is:","A) 45°, B) 90°, C) 180°, D) 270°",B,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_025,Q1-MG-5,Measurement and Geometry - Angle Relationships,"If an interior angle and exterior angle are equal, they both measure:","A) 45°, B) 60°, C) 90°, D) 180°",C,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_026,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the interior angles of a triangle is:,"A) 90°, B) 180°, C) 360°, D) 540°",B,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_027,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the interior angles of a quadrilateral is:,"A) 180°, B) 270°, C) 360°, D) 540°",C,Easy (0),20s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_028,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the interior angles of a pentagon is:,"A) 360°, B) 540°, C) 720°, D) 900°",B,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_029,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the interior angles of a hexagon is:,"A) 540°, B) 720°, C) 900°, D) 1080°",B,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_030,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the interior angles of an octagon is:,"A) 720°, B) 900°, C) 1080°, D) 1440°",C,Hard (2),90s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_031,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE interior angle of a regular pentagon?,"A) 72°, B) 108°, C) 120°, D) 144°",B,Hard (2),90s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_032,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE interior angle of a regular hexagon?,"A) 108°, B) 120°, C) 135°, D) 144°",B,Hard (2),90s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_033,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE interior angle of a regular octagon?,"A) 120°, B) 135°, C) 140°, D) 144°",B,Hard (2),90s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_034,Q1-MG-6,Measurement and Geometry - Angles of Polygons,The sum of the exterior angles of ANY convex polygon is:,"A) 180°, B) 360°, C) 540°, D) 720°",B,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_035,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE exterior angle of a regular hexagon?,"A) 45°, B) 60°, C) 72°, D) 90°",B,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_036,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE exterior angle of a regular octagon?,"A) 30°, B) 36°, C) 45°, D) 60°",C,Mod (1),45s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_037,Q1-MG-6,Measurement and Geometry - Angles of Polygons,What is the measure of ONE exterior angle of a regular decagon?,"A) 30°, B) 36°, C) 40°, D) 45°",B,Hard (2),90s,"Remember key angle rules: supplementary angles sum to 180°, complementary to 90°, and triangles sum to 180°."
Q1_038,Q1-MG-6,Measurement and Geometry - Angles of Polygons,"If a regular polygon has an exterior angle of 72°, how many sides does it have?","A) 5, B) 6, C) 8, D) 10",A,Hard (2),90s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_039,Q1-MG-6,Measurement and Geometry - Angles of Polygons,"If a regular polygon has an exterior angle of 40°, how many sides does it have?","A) 8, B) 9, C) 10, D) 12",B,Hard (2),90s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_040,Q1-MG-6,Measurement and Geometry - Angles of Polygons,"If the sum of the interior angles is 1800°, how many sides does the polygon have?","A) 10, B) 12, C) 14, D) 16",B,Hard (2),90s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_041,Q1-NA-1,Number and Algebra - Percentages,What is 10% of 200?,"A) 10, B) 20, C) 30, D) 40",B,Easy (0),20s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_042,Q1-NA-1,Number and Algebra - Percentages,What is 25% of 400?,"A) 25, B) 50, C) 100, D) 200",C,Easy (0),20s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_043,Q1-NA-1,Number and Algebra - Percentages,What is 50% of 1500?,"A) 500, B) 700, C) 750, D) 800",C,Easy (0),20s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_044,Q1-NA-1,Number and Algebra - Percentages,What is 15% of 300?,"A) 15, B) 30, C) 45, D) 60",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_045,Q1-NA-1,Number and Algebra - Percentages,What is 5% of 600?,"A) 5, B) 15, C) 30, D) 60",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_046,Q1-NA-1,Number and Algebra - Percentages,A ₱500 shirt is discounted by 20%. What is the discount?,"A) ₱20, B) ₱50, C) ₱100, D) ₱200",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_047,Q1-NA-1,Number and Algebra - Percentages,A ₱800 bag is on sale for 25% off. What is the discount?,"A) ₱25, B) ₱100, C) ₱200, D) ₱400",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_048,Q1-NA-1,Number and Algebra - Percentages,A ₱1000 item is 30% off. What is the SALE PRICE?,"A) ₱300, B) ₱600, C) ₱700, D) ₱1300",C,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_049,Q1-NA-1,Number and Algebra - Percentages,A ₱2000 phone is 15% off. What is the SALE PRICE?,"A) ₱300, B) ₱1700, C) ₱1850, D) ₱2300",B,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
